GeneNames,log2FC,p-value
LOC_Os09g01000.1,-1.88653936,1.25E-55
LOC_Os12g42876.1,3.231610951,1.05E-55
LOC_Os12g42884.2,3.179004295,2.59E-54
LOC_Os03g16920.1,5.290677161,4.69E-54
LOC_Os05g47540.4,4.096861539,2.19E-54
LOC_Os09g00999.1,-1.839222372,1.95E-54
LOC_Os01g62900.1,5.592457037,1.56E-54
LOC_Os09g27030.2,1.637429921,1.36E-54
LOC_Os01g51410.2,3.354349573,6.76E-54
LOC_Os12g33946.1,2.118284018,1.03E-53
LOC_Os06g50300.1,1.929064093,1.71E-53
LOC_Os04g37619.2,3.836501268,9.62E-53
LOC_Os08g39140.3,2.900866808,9.89E-51
LOC_Os03g03720.1,-1.764668523,5.45E-41
LOC_Os01g62290.1,2.95419631,1.45E-40
LOC_Os02g02400.3,-2.236574037,1.85E-40
LOC_Os08g09200.1,1.817135943,6.83E-40
LOC_Os01g50030.1,2.932885804,2.26E-36
LOC_Os09g29840.2,2.287162677,2.36E-35
LOC_Os05g47540.1,4.832890014,9.23E-35
LOC_Os02g02410.1,2.833990049,1.71E-34
LOC_Os12g19381.1,-2.339575961,1.80E-32
LOC_Os03g60080.1,3.447458977,6.22E-30
LOC_Os06g40940.3,2.565597176,8.86E-29
LOC_Os12g17600.1,-2.133125083,2.30E-28
LOC_Os11g05050.1,0.823553279,6.32E-28
LOC_Os05g39250.1,5.392317423,4.53E-27
LOC_Os02g33710.1,2.051838932,1.25E-26
LOC_Os03g17870.1,3.308752706,1.39E-26
LOC_Os03g51600.1,-2.637429921,2.13E-26
LOC_Os05g33960.1,3.969626351,6.46E-26
LOC_Os04g38600.3,-2.547487795,1.19E-25
LOC_Os08g41390.2,3.762500686,1.80E-25
LOC_Os01g57960.1,-1.561739544,8.18E-25
LOC_Os01g22010.2,2.724892762,1.06E-24
LOC_Os05g02530.1,1.973364873,3.12E-24
LOC_Os12g23200.1,-2.131244533,5.82E-24
LOC_Os04g47220.1,2.634715536,9.47E-24
LOC_Os09g26880.3,2.706953025,6.99E-23
LOC_Os11g26850.2,1.84434913,2.42E-22
LOC_Os04g32950.2,1.569855608,2.52E-22
LOC_Os01g52250.4,0.669458775,1.05E-21
LOC_Os01g31690.1,-1.361049853,6.94E-21
LOC_Os07g14270.3,1.707218251,7.15E-21
LOC_Os05g38530.1,3.137503524,1.18E-20
LOC_Os02g51080.1,-2.654503434,1.42E-20
LOC_Os02g27030.1,0.981016897,1.41E-20
LOC_Os12g08770.1,-2.390459477,2.85E-20
LOC_Os02g39360.1,1.689070904,3.26E-20
LOC_Os07g34570.1,0.613817363,4.84E-20
LOC_Os01g55540.2,-1.649092838,1.41E-19
LOC_Os03g05310.1,3.827819025,1.72E-19
LOC_Os03g16020.1,4.06608919,3.39E-19
LOC_Os08g32870.1,1.750972452,1.17E-18
LOC_Os10g30580.1,1.38827059,1.92E-18
LOC_Os02g52390.1,0.989111684,2.63E-18
LOC_Os01g49370.1,-1.893912742,4.48E-18
LOC_Os11g13890.2,-1.360316924,8.49E-18
LOC_Os01g33960.1,-2.584962501,1.57E-17
LOC_Os08g38086.4,2.237039197,1.72E-17
LOC_Os02g44870.1,2.602036014,3.14E-17
LOC_Os03g46770.1,0.234307228,4.60E-17
LOC_Os01g08860.2,3.930737338,4.93E-17
LOC_Os02g32504.1,3.437405312,1.11E-16
LOC_Os03g57340.1,2.769387072,3.06E-16
LOC_Os12g44360.2,1.655351829,3.41E-16
LOC_Os08g31510.1,1.945552216,6.24E-16
LOC_Os09g36220.1,1.632268215,9.46E-16
LOC_Os05g44340.1,4.142957954,1.39E-15
LOC_Os02g54130.3,2.153805336,2.78E-15
LOC_Os05g46040.1,4.614709844,2.86E-15
LOC_Os06g43660.3,-1.462734241,4.25E-15
LOC_Os01g64660.2,-2.75802721,5.13E-15
LOC_Os12g33946.1,-2.06871275,8.25E-15
LOC_Os03g51920.1,3.727920455,1.33E-14
LOC_Os11g34450.1,1.129283017,1.36E-14
LOC_Os09g30412.1,1.476438044,1.45E-14
LOC_Os09g30340.1,-2.465122731,2.43E-14
LOC_Os06g01850.1,-1.5334322,5.37E-14
LOC_Os09g04790.1,2.906890596,7.77E-14
